EIGENVECTOR1.X d	EIGENVECTOR1.Y d	EIGENVECTOR1.Z d	EIGENVECTOR2.X d	EIGENVECTOR2.Y d	EIGENVECTOR2.Z d	EIGENVECTOR3.X d	EIGENVECTOR3.Y d	EIGENVECTOR3.Z d	EIGENVALUE.X d	EIGENVALUE.Y d	EIGENVALUE.Z d	S_1.DIPDIR d	S_1.DIP d	S_2.DIPDIR d	S_2.DIP d	S_3.DIPDIR d	S_3.DIP d	stressratio d	delvaux_str d	regime s	delvaux_rgm s	shmax d	shmin d
-0.05455094	-0.05377085	-0.99706213	0.69076794	0.71901103	-0.07656882	0.72101584	-0.69291546	-0.00207955	1.00840880	-0.42574719	-0.58266161	225.41261340	85.60700905	43.85230702	4.39136849	133.86145702	0.11914938	0.09862192	0.09862192	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86145702
-0.05455393	-0.05376762	-0.99706214	0.69076908	0.71900997	-0.07656857	0.72101453	-0.69291681	-0.00208381	1.00840878	-0.42574798	-0.58266080	225.41590344	85.60701676	43.85239637	4.39135412	133.86156509	0.11939352	0.09862097	0.09862097	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86156509
-0.05455638	-0.05376498	-0.99706215	0.69077001	0.71900910	-0.07656837	0.72101345	-0.69291792	-0.00208730	1.00840877	-0.42574863	-0.58266014	225.41859747	85.60702307	43.85246953	4.39134235	133.86165358	0.11959344	0.09862019	0.09862019	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86165358
-0.05455839	-0.05376282	-0.99706216	0.69077077	0.71900839	-0.07656820	0.72101257	-0.69291883	-0.00209015	1.00840875	-0.42574915	-0.58265960	225.42080347	85.60702822	43.85252945	4.39133272	133.86172604	0.11975714	0.09861955	0.09861955	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86172604
-0.05456003	-0.05376105	-0.99706216	0.69077139	0.71900780	-0.07656806	0.72101185	-0.69291957	-0.00209249	1.00840874	-0.42574959	-0.58265915	225.42260983	85.60703244	43.85257851	4.39132483	133.86178538	0.11989119	0.09861903	0.09861903	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86178538
-0.05456137	-0.05375960	-0.99706217	0.69077190	0.71900732	-0.07656795	0.72101126	-0.69292018	-0.00209441	1.00840873	-0.42574994	-0.58265879	225.42408897	85.60703588	43.85261868	4.39131837	133.86183397	0.12000095	0.09861860	0.09861860	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86183397
-0.05456248	-0.05375841	-0.99706217	0.69077232	0.71900693	-0.07656786	0.72101078	-0.69292068	-0.00209598	1.00840873	-0.42575023	-0.58265849	225.42530016	85.60703871	43.85265158	4.39131308	133.86187376	0.12009083	0.09861825	0.09861825	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86187376
-0.05456338	-0.05375743	-0.99706217	0.69077266	0.71900661	-0.07656778	0.72101038	-0.69292109	-0.00209726	1.00840872	-0.42575047	-0.58265825	225.42629193	85.60704101	43.85267851	4.39130875	133.86190634	0.12016442	0.09861796	0.09861796	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86190634
-0.05456412	-0.05375664	-0.99706218	0.69077294	0.71900635	-0.07656772	0.72101006	-0.69292142	-0.00209832	1.00840872	-0.42575067	-0.58265805	225.42710403	85.60704290	43.85270057	4.39130520	133.86193301	0.12022469	0.09861773	0.09861773	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86193301
-0.05456472	-0.05375599	-0.99706218	0.69077317	0.71900613	-0.07656767	0.72100979	-0.69292169	-0.00209918	1.00840871	-0.42575083	-0.58265789	225.42776902	85.60704445	43.85271863	4.39130230	133.86195486	0.12027403	0.09861753	0.09861753	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86195486
-0.05456522	-0.05375545	-0.99706218	0.69077336	0.71900596	-0.07656763	0.72100957	-0.69292192	-0.00209988	1.00840871	-0.42575096	-0.58265775	225.42831355	85.60704572	43.85273342	4.39129992	133.86197275	0.12031444	0.09861738	0.09861738	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86197275
-0.05456562	-0.05375501	-0.99706218	0.69077351	0.71900581	-0.07656760	0.72100940	-0.69292210	-0.00210046	1.00840871	-0.42575106	-0.58265764	225.42875943	85.60704675	43.85274553	4.39129797	133.86198739	0.12034753	0.09861725	0.09861725	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86198739
-0.05456595	-0.05375466	-0.99706218	0.69077364	0.71900570	-0.07656757	0.72100925	-0.69292225	-0.00210093	1.00840871	-0.42575115	-0.58265756	225.42912454	85.60704760	43.85275545	4.39129638	133.86199939	0.12037462	0.09861714	0.09861714	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86199939
