ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_0934	0.23000000	41.97000000	4.83383753	0.04829693	71.06405472
W_TST_0930	0.13000000	45.00000000	7.69230769	0.07685713	71.06405472
W_TST_0929	0.64000000	46.89000000	1.46267324	0.01461419	71.06405472
W_TST_0925	0.23000000	36.90000000	5.79076066	0.05785796	71.06405472
W_TST_0924	0.19000000	31.76000000	8.50185191	0.08494563	71.06405472
W_TST_0922	0.70000000	40.11000000	1.69588228	0.01694428	71.06405472
W_TST_0921	0.48000000	61.95000000	1.11006111	0.01109109	71.06405472
W_TST_0917	0.49000000	10.84000000	10.65790397	0.10648767	71.06405472
W_TST_0916	0.34000000	18.90000000	8.59047350	0.08583109	71.06405472
W_TST_0915	0.23000000	17.07000000	14.15920484	0.14147066	71.06405472
W_TST_0914	0.19000000	36.56000000	7.09719411	0.07091110	71.06405472
W_TST_0912	0.12000000	6.58000000	72.24375572	0.72181820	72.24375572
W_TST_0911	0.12000000	17.41000000	26.57544376	0.26552660	72.24375572
W_TST_0910	0.15000000	1.44000000	6.66666667	0.06660951	72.24375572
W_TST_0909	0.27000000	19.25000000	10.60577863	0.10596686	72.24375572
W_TST_0908	1.34000000	27.50000000	1.43356875	0.01432340	72.24375572
W_TST_0907	2.64000000	48.56000000	0.33441671	0.00334130	72.24375572
W_TST_0906	0.22000000	37.25000000	5.97757617	0.05972452	72.24375572
W_TST_0904	0.46000000	16.58000000	7.30155468	0.07295295	72.24375572
W_TST_0903	0.11000000	23.67000000	20.73916645	0.20721387	72.24375572
W_TST_0902	0.69000000	47.36000000	1.33454553	0.01333401	72.24375572
W_TST_0901	0.30000000	5.36000000	35.52769893	0.35497241	72.24375572
W_TST_0900	4.62000000	5.97000000	2.06981078	0.02068036	72.24375572
W_TST_0899	0.27000000	26.37000000	7.47088214	0.07464477	72.24375572
W_TST_0898	0.19000000	35.71000000	7.32176229	0.07315485	72.24375572
W_TST_0897	0.14000000	38.79000000	8.88709841	0.08879479	72.24375572
W_TST_0896	0.18000000	15.92000000	19.47712269	0.19460425	72.24375572
W_TST_0894	1.16000000	6.71000000	7.32740635	0.07321124	72.24375572
W_TST_0892	0.52000000	35.80000000	2.66641191	0.02664126	72.24375572
W_TST_0891	0.18000000	19.55000000	15.64500234	0.15631590	72.24375572
W_TST_0890	0.17000000	26.62000000	11.73655288	0.11726491	72.24375572
W_TST_0889	0.31000000	11.76000000	15.49509762	0.15481814	72.24375572
W_TST_0887	0.17000000	48.71000000	5.16595457	0.05161526	72.24375572
W_TST_0886	0.30000000	23.31000000	7.73619645	0.07729564	72.24375572
W_TST_0885	0.10000000	44.46000000	10.19029468	0.10181558	72.24375572
W_TST_0883	2.71000000	57.04000000	0.23926771	0.00239063	72.24375572
W_TST_0881	0.38000000	7.22000000	20.77277564	0.20754967	72.24375572
W_TST_0880	0.25000000	14.13000000	15.88945100	0.15875829	72.24375572
W_TST_0878	0.34000000	33.83000000	4.38850453	0.04384742	72.24375572
W_TST_0877	0.16000000	12.14000000	29.05466563	0.29029757	72.24375572
W_TST_0876	0.15000000	24.35000000	14.73074155	0.14718113	72.24375572
W_TST_0875	0.58000000	40.80000000	1.99743302	0.01995721	72.24375572
W_TST_0874	0.34000000	13.38000000	12.36491063	0.12354310	72.24375572
W_TST_0873	0.10000000	11.01000000	51.39764519	0.51353581	72.24375572
W_TST_0872	0.12000000	14.41000000	32.43268954	0.32404885	72.24375572
W_TST_0871	0.28000000	40.75000000	4.14484689	0.04141293	72.24375572
W_TST_0869	1.17000000	24.03000000	1.91698761	0.01915344	72.24375572
W_TST_0868	2.17000000	34.68000000	0.66601892	0.00665448	72.24375572
W_TST_0867	0.13000000	26.64000000	15.33443496	0.15321289	72.24375572
W_TST_0866	0.35000000	24.38000000	6.30438510	0.06298980	72.24375572
W_TST_0864	0.32000000	37.33000000	4.09769618	0.04094183	72.24375572
W_TST_0863	0.56000000	33.34000000	2.71435870	0.02712032	72.24375572
W_TST_0862	2.19000000	56.46000000	0.30268950	0.00302430	72.24375572
W_TST_0861	0.55000000	30.87000000	3.04157342	0.03038966	72.24375572
W_TST_0860	0.79000000	13.83000000	5.14188343	0.05137475	72.24375572
W_TST_0859	0.26000000	18.65000000	11.39570862	0.11385939	72.24375572
W_TST_0858	1.19000000	54.63000000	0.59653384	0.00596022	72.24375572
W_TST_0857	1.32000000	58.51000000	0.46406117	0.00463663	72.24375572
W_TST_0856	6.76000000	22.31000000	0.36050892	0.00360200	72.24375572
W_TST_0855	1.27000000	68.80000000	0.30541294	0.00305151	72.24375572
W_TST_0854	2.77000000	47.64000000	0.32918630	0.00328904	72.24375572
W_TST_0853	0.13000000	17.20000000	24.84983108	0.24828527	72.24375572
W_TST_0852	0.58000000	21.68000000	4.33697337	0.04333255	72.24375572
W_TST_0851	0.22000000	5.03000000	51.64333016	0.51599056	72.24375572
W_TST_0850	0.63000000	22.68000000	3.79829021	0.03795034	72.24375572
W_TST_0848	0.97000000	41.54000000	1.16361402	0.01162616	72.24375572
W_TST_0847	4.49000000	38.71000000	0.27789703	0.00277659	72.24375572
W_TST_0846	2.63000000	10.69000000	2.01422744	0.02012501	72.24375572
W_TST_0845	1.47000000	15.00000000	2.53881007	0.02536634	72.24375572
W_TST_0839	2.64000000	38.37000000	0.47842575	0.00478016	72.24375572
W_TST_0838	0.54000000	21.01000000	4.82172349	0.04817590	72.24375572
W_TST_0835	0.55000000	32.06000000	2.90293022	0.02900442	72.24375572
W_TST_0833	0.18000000	11.10000000	28.31690331	0.28292627	72.24375572
W_TST_0832	0.70000000	6.37000000	12.79648305	0.12785512	72.24375572
W_TST_0831	0.89000000	7.38000000	8.67491359	0.08667476	72.24375572
W_TST_0830	3.05000000	13.37000000	1.37945288	0.01378270	72.24375572
W_TST_0829	1.03000000	31.16000000	1.60563186	0.01604255	72.24375572
W_TST_0828	0.99000000	16.70000000	3.36684201	0.03363956	72.24375572
W_TST_0827	0.36000000	30.19000000	4.77461669	0.04770523	72.24375572
W_TST_0826	0.18000000	42.23000000	6.12048099	0.06115234	72.24375572
W_TST_0825	0.38000000	15.41000000	9.54737824	0.09539193	72.24375572
W_TST_0824	0.31000000	20.52000000	8.61863873	0.08611250	72.24375572
W_TST_0823	0.55000000	27.20000000	3.53779920	0.03534766	72.24375572
W_TST_0822	0.22000000	15.37000000	16.53598212	0.16521806	72.24375572
W_TST_0821	0.28000000	15.11000000	13.22712346	0.13215784	72.24375572
W_TST_0820	0.63000000	30.18000000	2.72944826	0.02727108	72.24375572
W_TST_0819	2.15000000	57.51000000	0.29619764	0.00295944	72.24375572
W_TST_0818	0.11000000	19.10000000	26.25297908	0.26230472	72.24375572
W_TST_0817	0.19000000	20.78000000	13.86994354	0.13858053	72.24375572
W_TST_0815	0.70000000	16.58000000	4.79816450	0.04794051	72.24375572
W_TST_0814	0.11000000	27.60000000	17.38930525	0.17374397	72.24375572
W_TST_0813	0.31000000	35.16000000	4.57965651	0.04575730	72.24375572
W_TST_0812	0.66000000	21.88000000	3.77286276	0.03769628	72.24375572
W_TST_0811	0.21000000	0.41000000	4.76190476	0.04757822	72.24375572
W_TST_0810	2.02000000	22.61000000	1.18869524	0.01187676	72.24375572
W_TST_0808	0.19000000	35.59000000	7.35421260	0.07347908	72.24375572
W_TST_0807	1.25000000	6.70000000	6.81007543	0.06804237	72.24375572
W_TST_0806	0.59000000	19.09000000	4.89738742	0.04893189	72.24375572
W_TST_0804	1.89000000	33.96000000	0.78560630	0.00784933	72.24375572
W_TST_0803	0.39000000	29.85000000	4.46812951	0.04464299	72.24375572
