GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.B.X d	CENTER.B.Y d	CENTER.C.X d	CENTER.C.Y d	COUNT i
2	0.74314483	-0.66913061	0.75661316	-0.63487383	0.67779286	-0.71841846	0
2	0.66913061	-0.74314483	0.67779286	-0.71841846	0.58980658	-0.79224773	0
3	0.50000000	-0.86602540	0.58778525	-0.80901699	0.49384417	-0.85536319	0
4	0.49384417	-0.85536319	0.58778525	-0.80901699	0.58980658	-0.79224773	0
1	0.98100995	-0.11466362	0.98768834	0.00000000	0.95105652	0.00000000	0
1	0.96106507	-0.22777661	0.98100995	-0.11466362	0.94292010	-0.12413779	0
1	0.92812345	-0.33780931	0.96106507	-0.22777661	0.91865005	-0.24615154	0
1	0.88263054	-0.44327372	0.92812345	-0.33780931	0.87866165	-0.36395357	0
1	0.82520157	-0.54274361	0.88263054	-0.44327372	0.82363910	-0.47552826	0
1	0.75661316	-0.63487383	0.82520157	-0.54274361	0.75452386	-0.57896652	0
1	0.67779286	-0.71841846	0.75661316	-0.63487383	0.67249851	-0.67249851	0
1	0.58980658	-0.79224773	0.67779286	-0.71841846	0.57896652	-0.75452386	0
2	0.98100995	-0.11466362	0.95105652	0.00000000	0.94292010	-0.12413779	0
2	0.96106507	-0.22777661	0.94292010	-0.12413779	0.91865005	-0.24615154	0
2	0.92812345	-0.33780931	0.91865005	-0.24615154	0.87866165	-0.36395357	0
2	0.88263054	-0.44327372	0.87866165	-0.36395357	0.82363910	-0.47552826	0
2	0.82520157	-0.54274361	0.82363910	-0.47552826	0.75452386	-0.57896652	0
2	0.75661316	-0.63487383	0.75452386	-0.57896652	0.67249851	-0.67249851	0
2	0.67779286	-0.71841846	0.67249851	-0.67249851	0.57896652	-0.75452386	0
3	0.49384417	-0.85536319	0.58980658	-0.79224773	0.47552826	-0.82363910	0
4	0.47552826	-0.82363910	0.58980658	-0.79224773	0.57896652	-0.75452386	0
1	0.94292010	-0.12413779	0.95105652	0.00000000	0.89100652	0.00000000	0
1	0.91865005	-0.24615154	0.94292010	-0.12413779	0.88105472	-0.13279763	0
