DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1417.88000000	10	1409.84000000	1429.84000000	-0.96906375	-0.24517712	-0.02834828	255.80187304	1.62445453	63.10765629	2.13970057	0.00000000	0.00000000
1417.88000000	10	1410.84000000	1430.84000000	-0.96906375	-0.24517712	-0.02834828	255.80187304	1.62445453	63.10765629	2.13970057	0.00000000	0.00000000
1417.88000000	10	1411.84000000	1431.84000000	-0.96906375	-0.24517712	-0.02834828	255.80187304	1.62445453	63.10765629	2.13970057	0.00000000	0.00000000
1417.88000000	10	1412.84000000	1432.84000000	-0.96906375	-0.24517712	-0.02834828	255.80187304	1.62445453	63.10765629	2.13970057	0.06050322	0.00112038
1422.10500000	11	1413.84000000	1433.84000000	-0.97961171	0.19753502	-0.03661726	281.40059845	2.09848348	50.64555870	1.50137914	0.00178436	0.00012384
1426.20000000	12	1414.84000000	1434.84000000	-0.98202220	0.18500251	-0.03750301	280.66887196	2.14926849	47.10662803	1.44599140	0.53506511	0.00241971
1426.36500000	11	1415.84000000	1435.84000000	-0.94189569	0.33372629	-0.03820033	289.50991949	2.18925015	44.59414249	1.35221728	0.00000000	0.00000000
1426.36500000	11	1416.84000000	1436.84000000	-0.94189569	0.33372629	-0.03820033	289.50991949	2.18925015	44.59414249	1.35221728	0.02341555	0.00040495
1429.78000000	9	1417.84000000	1437.84000000	-0.88630070	0.46172557	-0.03578495	297.51762738	2.05076436	43.86469546	1.22339245	0.00286134	0.00055914
1433.03000000	8	1418.84000000	1438.84000000	-0.87857500	0.47601279	-0.03895884	298.44887773	2.23274195	45.63053324	1.05730448	0.35321298	0.01496919
1433.67000000	10	1419.84000000	1439.84000000	-0.99461506	0.10122767	-0.02222250	275.81130937	1.27336046	69.69054916	2.08288010	0.74090774	0.02741697
1433.79500000	11	1420.84000000	1440.84000000	-0.99804235	-0.06039812	-0.01623371	266.53687803	0.93016416	78.35551739	2.38560625	0.00000000	0.00000000
1433.79500000	11	1421.84000000	1441.84000000	-0.99804235	-0.06039812	-0.01623371	266.53687803	0.93016416	78.35551739	2.38560625	0.47141225	0.00241085
1434.34500000	9	1422.84000000	1442.84000000	-0.87082884	-0.49123619	-0.01855088	240.57257340	1.06294835	75.62622630	2.43408328	0.00000000	0.00000000
1434.34500000	9	1423.84000000	1443.84000000	-0.87082884	-0.49123619	-0.01855088	240.57257340	1.06294835	75.62622630	2.43408328	0.00000000	0.00000000
1434.34500000	9	1424.84000000	1444.84000000	-0.87082884	-0.49123619	-0.01855088	240.57257340	1.06294835	75.62622630	2.43408328	0.00000000	0.00000000
1434.34500000	9	1425.84000000	1445.84000000	-0.87082884	-0.49123619	-0.01855088	240.57257340	1.06294835	75.62622630	2.43408328	0.22279219	0.00093840
1436.90000000	7	1426.84000000	1446.84000000	-0.06223970	-0.99795791	-0.01436090	183.56874687	0.82284733	94.00757388	2.48980382	0.00000000	0.00000000
1436.90000000	7	1427.84000000	1447.84000000	-0.06223970	-0.99795791	-0.01436090	183.56874687	0.82284733	94.00757388	2.48980382	0.00000000	0.00000000
