DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1750.10500000	0.15282703	1750.57750000	0.00218456
1751.05000000	0.14690739	1751.49250000	0.00812932
1751.93500000	0.16753735	1752.29000000	0.02201139
1752.64500000	0.21235062	1752.99000000	0.02228718
1753.33500000	0.16825403	1753.64750000	0.18145785
1753.96000000	0.49345855	1754.59500000	0.11751202
1755.23000000	0.06551468	1755.94000000	0.01757878
1756.65000000	0.13709238	1757.07000000	0.00627897
1757.49000000	0.12196831	1757.90500000	0.01047748
1758.32000000	0.14690482	1758.79750000	0.02089355
1759.27500000	0.08968896	1759.87250000	0.00186769
1760.47000000	0.09608886	1760.97000000	0.01923269
1761.47000000	0.15123826	1761.99500000	0.01789804
1762.52000000	0.09734984	1762.98750000	0.04050460
1763.45500000	0.20594657	1763.77500000	0.01990993
1764.09500000	0.16940809	1764.37750000	0.03673719
1764.66000000	0.22892703	1765.02750000	0.05069955
1765.39500000	0.12207267	1765.81750000	0.02161315
1766.24000000	0.17444182	1766.50000000	0.07623502
1766.76000000	0.28811517	1766.95250000	0.03189741
1767.14500000	0.25290104	1767.51500000	0.05016398
1767.88500000	0.14645623	1768.38000000	0.00683987
1768.87500000	0.12703915	1769.34500000	0.00522708
1769.81500000	0.11294990	1770.32750000	0.00061685
1770.84000000	0.11113687	1771.34500000	0.00054328
1771.85000000	0.11271030	1772.24500000	0.01919068
1772.64000000	0.15618317	1772.87250000	0.17464888
1773.10500000	0.38905638	1773.30250000	0.18173268
1773.50000000	0.18321585	1773.80000000	0.00662580
1774.10000000	0.19461546	1774.44500000	0.00011393
1774.79000000	0.19439003	1775.08250000	0.03687797
1775.37500000	0.25625199	1775.65250000	0.05951222
1775.93000000	0.16154110	1776.22500000	0.01835660
1776.52000000	0.19259707	1776.92750000	0.03628995
1777.33500000	0.10778752	1777.78000000	0.01113505
1778.22500000	0.13620483	1778.51000000	0.10830119
1778.79500000	0.31321934	1779.07000000	0.10532404
1779.34500000	0.14711117	1779.77500000	0.01280459
1780.20500000	0.17868774	1780.79750000	0.02418923
1781.39000000	0.09649355	1781.83500000	0.02239630
1782.28000000	0.03933686	1783.29000000	0.00212401
1784.30000000	0.02703393	1785.32000000	0.03731338
1786.34000000	0.24530470	1786.74000000	0.06865412
1787.14000000	0.08781312	1787.47750000	0.15226744
1787.81500000	0.38253447	1788.21500000	0.12785730
1788.61500000	0.08923159	1789.29000000	0.00205947
1789.96500000	0.09720401	1790.42000000	0.04501308
1790.87500000	0.21466157	1791.30250000	0.04606378
1791.73000000	0.10172710	1792.54000000	0.01177250
1793.35000000	0.04704003	1794.23000000	0.00582977
1795.11000000	0.07646152	1795.76500000	0.00548609
1796.42000000	0.09706949	1796.92500000	0.03127539
1797.43000000	0.18764795	1798.24500000	0.03066913
1799.06000000	0.04430052	1799.91250000	0.00868668
1800.76500000	0.08677022	1801.19250000	0.05355650
1801.62000000	0.21807458	1801.95750000	0.00762391
1802.29500000	0.20331812	1802.76250000	0.04428790
1803.23000000	0.08457801	1803.94000000	0.00160543
1804.65000000	0.07804099	1805.92500000	0.00613436
1807.20000000	0.03318604	1808.99750000	0.00083368
1810.79500000	0.04178011	1811.89500000	0.01883322
1812.99500000	0.16058878	1813.26750000	0.04372870
1813.54000000	0.22892703	1814.36750000	0.04103980
1815.19500000	0.03416514	1816.13750000	0.01178321
1817.08000000	0.09785578	1817.73500000	0.00347626
1818.39000000	0.08479757	NAN	NAN
