DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1773.50000000	0.15700784	1773.80000000	0.06173594
1774.10000000	0.10138298	1774.44500000	0.00457566
1774.79000000	0.09664185	1775.08250000	0.06503435
1775.37500000	0.15377370	1775.65250000	0.03796399
1775.93000000	0.12213311	1776.22500000	0.02489545
1776.52000000	0.14419038	1776.92750000	0.06319995
1777.33500000	0.06684150	1777.78000000	0.03955667
1778.22500000	0.11970908	1778.51000000	0.03512499
1778.79500000	0.14977473	1779.07000000	0.03004462
1779.34500000	0.12496004	1779.77500000	0.05366626
1780.20500000	0.05565267	1780.79750000	0.00085064
1781.39000000	0.05413895	1781.83500000	0.04795648
1782.28000000	0.11823289	1783.29000000	0.03149374
1784.30000000	0.02269948	1785.32000000	0.03686887
1786.34000000	0.13564516	1786.74000000	0.04962329
1787.14000000	0.07603021	1787.47750000	0.21146672
1787.81500000	0.29038118	1788.21500000	0.19595783
1788.61500000	0.05496720	1789.29000000	0.00244032
1789.96500000	0.05002000	1790.42000000	0.09510361
1790.87500000	0.17998249	1791.30250000	0.09671077
1791.73000000	0.05581137	1792.54000000	0.00569873
1793.35000000	0.04194788	1794.23000000	0.00209506
1795.11000000	0.04748506	1795.76500000	0.01239510
1796.42000000	0.07186884	1796.92500000	0.00442226
1797.43000000	0.06516158	1798.24500000	0.01285814
1799.06000000	0.03368805	1799.91250000	0.01564139
1800.76500000	0.07373590	1801.19250000	0.02864652
1801.62000000	0.11051640	1801.95750000	0.02045536
1802.29500000	0.08978204	1802.76250000	0.01319869
1803.23000000	0.07125005	1803.94000000	0.01429479
1804.65000000	0.04076789	1805.92500000	0.00488863
1807.20000000	0.02204783	1808.99750000	0.00095107
1810.79500000	0.01691341	1811.89500000	0.03494359
1812.99500000	0.13235701	1813.26750000	0.03115342
1813.54000000	0.15785359	1814.36750000	0.05194591
1815.19500000	0.02875277	1816.13750000	0.02121329
1817.08000000	0.08880084	1817.73500000	0.02502111
1818.39000000	0.03957904	NAN	NAN
1370.37000000	0.31244745	1373.79500000	0.01256646
1377.22000000	0.01125152	1380.71000000	0.01642023
1384.20000000	0.41228458	1384.45750000	0.03364562
1384.71500000	0.35165545	1384.92000000	0.45193551
1385.12500000	1.00000000	1385.28500000	0.44137569
1385.44500000	0.50579865	1385.63500000	0.08925679
1385.82500000	0.62447670	1386.35500000	0.13377761
1386.88500000	0.12830175	1387.47500000	0.13091503
1388.06500000	0.66882834	1389.64750000	0.05801926
1391.23000000	0.02630125	1392.74750000	0.02741475
1394.26500000	0.31743233	1394.49500000	0.08906426
1394.72500000	0.17407932	1396.80000000	0.01109599
1398.87500000	0.01295546	1400.92250000	0.02053459
1402.97000000	0.30718443	1403.60000000	0.05524449
1404.23000000	0.06362495	1407.57250000	0.00228394
1410.91500000	0.01020158	1414.55750000	0.00001238
1418.20000000	0.01051718	1421.16250000	0.00036339
1424.12500000	0.01805076	1426.60000000	0.00562304
1429.07500000	0.11544252	1429.66750000	0.00487855
1430.26000000	0.09521443	1434.37250000	0.00300344
1438.48500000	0.00877721	1442.40500000	0.00934716
1446.32500000	0.26519101	1446.45750000	0.24750285
1446.59000000	0.49468515	1446.73250000	0.23223868
1446.87500000	0.26309241	1447.06500000	0.04435045
