CENTER.X d	CENTER.Y d	CENTER.Z d	COUNT i
0.21724138	-0.14482759	NAN	53
0.28965517	-0.14482759	NAN	57
0.36206897	-0.14482759	NAN	62
0.43448276	-0.14482759	NAN	68
0.50689655	-0.14482759	NAN	75
0.57931034	-0.14482759	NAN	84
0.65172414	-0.14482759	NAN	95
0.72413793	-0.14482759	NAN	111
0.79655172	-0.14482759	NAN	133
0.86896552	-0.14482759	NAN	168
0.94137931	-0.14482759	NAN	233
1.01379310	-0.14482759	NAN	0
-1.01379310	-0.07241379	NAN	0
-0.94137931	-0.07241379	NAN	137
-0.86896552	-0.07241379	NAN	119
-0.79655172	-0.07241379	NAN	105
-0.72413793	-0.07241379	NAN	97
-0.65172414	-0.07241379	NAN	90
-0.57931034	-0.07241379	NAN	85
-0.50689655	-0.07241379	NAN	80
-0.43448276	-0.07241379	NAN	75
-0.36206897	-0.07241379	NAN	70
-0.28965517	-0.07241379	NAN	66
-0.21724138	-0.07241379	NAN	62
-0.14482759	-0.07241379	NAN	58
-0.07241379	-0.07241379	NAN	54
0.00000000	-0.07241379	NAN	52
0.07241379	-0.07241379	NAN	50
0.14482759	-0.07241379	NAN	51
0.21724138	-0.07241379	NAN	54
0.28965517	-0.07241379	NAN	58
0.36206897	-0.07241379	NAN	63
0.43448276	-0.07241379	NAN	68
0.50689655	-0.07241379	NAN	76
0.57931034	-0.07241379	NAN	85
0.65172414	-0.07241379	NAN	96
0.72413793	-0.07241379	NAN	112
0.79655172	-0.07241379	NAN	135
0.86896552	-0.07241379	NAN	169
0.94137931	-0.07241379	NAN	233
1.01379310	-0.07241379	NAN	0
-1.01379310	0.00000000	NAN	0
-0.94137931	0.00000000	NAN	112
-0.86896552	0.00000000	NAN	103
-0.79655172	0.00000000	NAN	94
-0.72413793	0.00000000	NAN	88
-0.65172414	0.00000000	NAN	84
-0.57931034	0.00000000	NAN	79
-0.50689655	0.00000000	NAN	75
-0.43448276	0.00000000	NAN	71
-0.36206897	0.00000000	NAN	67
-0.28965517	0.00000000	NAN	63
-0.21724138	0.00000000	NAN	59
-0.14482759	0.00000000	NAN	56
-0.07241379	0.00000000	NAN	53
0.00000000	0.00000000	NAN	50
0.07241379	0.00000000	NAN	49
0.14482759	0.00000000	NAN	51
0.21724138	0.00000000	NAN	55
0.28965517	0.00000000	NAN	59
0.36206897	0.00000000	NAN	64
0.43448276	0.00000000	NAN	70
0.50689655	0.00000000	NAN	77
0.57931034	0.00000000	NAN	87
0.65172414	0.00000000	NAN	99
0.72413793	0.00000000	NAN	115
0.79655172	0.00000000	NAN	138
0.86896552	0.00000000	NAN	175
0.94137931	0.00000000	NAN	242
1.01379310	0.00000000	NAN	0
-1.01379310	0.07241379	NAN	0
-0.94137931	0.07241379	NAN	88
-0.86896552	0.07241379	NAN	88
-0.79655172	0.07241379	NAN	86
-0.72413793	0.07241379	NAN	82
-0.65172414	0.07241379	NAN	79
-0.57931034	0.07241379	NAN	75
-0.50689655	0.07241379	NAN	71
-0.43448276	0.07241379	NAN	68
-0.36206897	0.07241379	NAN	64
-0.28965517	0.07241379	NAN	61
-0.21724138	0.07241379	NAN	57
-0.14482759	0.07241379	NAN	54
-0.07241379	0.07241379	NAN	51
0.00000000	0.07241379	NAN	49
0.07241379	0.07241379	NAN	50
0.14482759	0.07241379	NAN	53
0.21724138	0.07241379	NAN	56
0.28965517	0.07241379	NAN	60
0.36206897	0.07241379	NAN	66
0.43448276	0.07241379	NAN	72
0.50689655	0.07241379	NAN	80
0.57931034	0.07241379	NAN	89
0.65172414	0.07241379	NAN	102
0.72413793	0.07241379	NAN	120
0.79655172	0.07241379	NAN	145
0.86896552	0.07241379	NAN	184
0.94137931	0.07241379	NAN	261
1.01379310	0.07241379	NAN	0
-1.01379310	0.14482759	NAN	0
-0.94137931	0.14482759	NAN	81
-0.86896552	0.14482759	NAN	82
-0.79655172	0.14482759	NAN	81
-0.72413793	0.14482759	NAN	78
-0.65172414	0.14482759	NAN	75
-0.57931034	0.14482759	NAN	72
-0.50689655	0.14482759	NAN	68
-0.43448276	0.14482759	NAN	65
-0.36206897	0.14482759	NAN	62
-0.28965517	0.14482759	NAN	59
-0.21724138	0.14482759	NAN	56
-0.14482759	0.14482759	NAN	53
