CENTER.X d	CENTER.Y d	CENTER.Z d	COUNT i
-0.36206897	-0.43448276	NAN	157
-0.28965517	-0.43448276	NAN	141
-0.21724138	-0.43448276	NAN	129
-0.14482759	-0.43448276	NAN	119
-0.07241379	-0.43448276	NAN	112
0.00000000	-0.43448276	NAN	106
0.07241379	-0.43448276	NAN	102
0.14482759	-0.43448276	NAN	100
0.21724138	-0.43448276	NAN	102
0.28965517	-0.43448276	NAN	106
0.36206897	-0.43448276	NAN	114
0.43448276	-0.43448276	NAN	125
0.50689655	-0.43448276	NAN	140
0.57931034	-0.43448276	NAN	160
0.65172414	-0.43448276	NAN	187
0.72413793	-0.43448276	NAN	227
0.79655172	-0.43448276	NAN	294
0.86896552	-0.43448276	NAN	445
0.94137931	-0.43448276	NAN	0
1.01379310	-0.43448276	NAN	0
-1.01379310	-0.36206897	NAN	0
-0.94137931	-0.36206897	NAN	0
-0.86896552	-0.36206897	NAN	403
-0.79655172	-0.36206897	NAN	324
-0.72413793	-0.36206897	NAN	266
-0.65172414	-0.36206897	NAN	230
-0.57931034	-0.36206897	NAN	202
-0.50689655	-0.36206897	NAN	180
-0.43448276	-0.36206897	NAN	161
-0.36206897	-0.36206897	NAN	146
-0.28965517	-0.36206897	NAN	133
-0.21724138	-0.36206897	NAN	123
-0.14482759	-0.36206897	NAN	114
-0.07241379	-0.36206897	NAN	107
0.00000000	-0.36206897	NAN	101
0.07241379	-0.36206897	NAN	98
0.14482759	-0.36206897	NAN	96
0.21724138	-0.36206897	NAN	98
0.28965517	-0.36206897	NAN	102
0.36206897	-0.36206897	NAN	110
0.43448276	-0.36206897	NAN	121
0.50689655	-0.36206897	NAN	134
0.57931034	-0.36206897	NAN	152
0.65172414	-0.36206897	NAN	176
0.72413793	-0.36206897	NAN	210
0.79655172	-0.36206897	NAN	262
0.86896552	-0.36206897	NAN	359
0.94137931	-0.36206897	NAN	0
1.01379310	-0.36206897	NAN	0
-1.01379310	-0.28965517	NAN	0
-0.94137931	-0.28965517	NAN	451
-0.86896552	-0.28965517	NAN	371
-0.79655172	-0.28965517	NAN	272
-0.72413793	-0.28965517	NAN	231
-0.65172414	-0.28965517	NAN	204
-0.57931034	-0.28965517	NAN	182
-0.50689655	-0.28965517	NAN	165
-0.43448276	-0.28965517	NAN	149
-0.36206897	-0.28965517	NAN	136
-0.28965517	-0.28965517	NAN	125
-0.21724138	-0.28965517	NAN	116
-0.14482759	-0.28965517	NAN	108
-0.07241379	-0.28965517	NAN	102
0.00000000	-0.28965517	NAN	97
0.07241379	-0.28965517	NAN	94
0.14482759	-0.28965517	NAN	92
0.21724138	-0.28965517	NAN	94
0.28965517	-0.28965517	NAN	99
0.36206897	-0.28965517	NAN	107
0.43448276	-0.28965517	NAN	118
0.50689655	-0.28965517	NAN	131
0.57931034	-0.28965517	NAN	148
0.65172414	-0.28965517	NAN	170
0.72413793	-0.28965517	NAN	200
0.79655172	-0.28965517	NAN	245
0.86896552	-0.28965517	NAN	321
0.94137931	-0.28965517	NAN	488
1.01379310	-0.28965517	NAN	0
-1.01379310	-0.21724138	NAN	0
-0.94137931	-0.21724138	NAN	394
-0.86896552	-0.21724138	NAN	286
-0.79655172	-0.21724138	NAN	235
-0.72413793	-0.21724138	NAN	205
-0.65172414	-0.21724138	NAN	183
-0.57931034	-0.21724138	NAN	166
-0.50689655	-0.21724138	NAN	152
-0.43448276	-0.21724138	NAN	140
-0.36206897	-0.21724138	NAN	128
-0.28965517	-0.21724138	NAN	119
-0.21724138	-0.21724138	NAN	110
-0.14482759	-0.21724138	NAN	103
-0.07241379	-0.21724138	NAN	98
0.00000000	-0.21724138	NAN	93
0.07241379	-0.21724138	NAN	90
0.14482759	-0.21724138	NAN	89
0.21724138	-0.21724138	NAN	92
0.28965517	-0.21724138	NAN	98
0.36206897	-0.21724138	NAN	106
0.43448276	-0.21724138	NAN	116
0.50689655	-0.21724138	NAN	129
0.57931034	-0.21724138	NAN	145
0.65172414	-0.21724138	NAN	166
0.72413793	-0.21724138	NAN	194
0.79655172	-0.21724138	NAN	236
0.86896552	-0.21724138	NAN	302
0.94137931	-0.21724138	NAN	433
1.01379310	-0.21724138	NAN	0
-1.01379310	-0.14482759	NAN	0
-0.94137931	-0.14482759	NAN	330
-0.86896552	-0.14482759	NAN	243
-0.79655172	-0.14482759	NAN	204
-0.72413793	-0.14482759	NAN	183
-0.65172414	-0.14482759	NAN	167
-0.57931034	-0.14482759	NAN	154
-0.50689655	-0.14482759	NAN	142
-0.43448276	-0.14482759	NAN	132
-0.36206897	-0.14482759	NAN	122
-0.28965517	-0.14482759	NAN	113
-0.21724138	-0.14482759	NAN	106
-0.14482759	-0.14482759	NAN	99
-0.07241379	-0.14482759	NAN	93
0.00000000	-0.14482759	NAN	89
0.07241379	-0.14482759	NAN	86
0.14482759	-0.14482759	NAN	87
0.21724138	-0.14482759	NAN	91
0.28965517	-0.14482759	NAN	97
0.36206897	-0.14482759	NAN	106
0.43448276	-0.14482759	NAN	116
0.50689655	-0.14482759	NAN	128
0.57931034	-0.14482759	NAN	144
0.65172414	-0.14482759	NAN	165
0.72413793	-0.14482759	NAN	192
0.79655172	-0.14482759	NAN	232
0.86896552	-0.14482759	NAN	295
0.94137931	-0.14482759	NAN	413
1.01379310	-0.14482759	NAN	0
-1.01379310	-0.07241379	NAN	0
-0.94137931	-0.07241379	NAN	221
-0.86896552	-0.07241379	NAN	200
-0.79655172	-0.07241379	NAN	179
-0.72413793	-0.07241379	NAN	165
-0.65172414	-0.07241379	NAN	153
-0.57931034	-0.07241379	NAN	143
-0.50689655	-0.07241379	NAN	134
-0.43448276	-0.07241379	NAN	125
-0.36206897	-0.07241379	NAN	117
-0.28965517	-0.07241379	NAN	109
-0.21724138	-0.07241379	NAN	102
-0.14482759	-0.07241379	NAN	96
-0.07241379	-0.07241379	NAN	90
0.00000000	-0.07241379	NAN	85
0.07241379	-0.07241379	NAN	83
0.14482759	-0.07241379	NAN	85
0.21724138	-0.07241379	NAN	91
0.28965517	-0.07241379	NAN	98
0.36206897	-0.07241379	NAN	106
0.43448276	-0.07241379	NAN	117
0.50689655	-0.07241379	NAN	129
0.57931034	-0.07241379	NAN	145
0.65172414	-0.07241379	NAN	165
0.72413793	-0.07241379	NAN	193
0.79655172	-0.07241379	NAN	233
0.86896552	-0.07241379	NAN	296
0.94137931	-0.07241379	NAN	412
1.01379310	-0.07241379	NAN	0
-1.01379310	0.00000000	NAN	0
-0.94137931	0.00000000	NAN	180
-0.86896552	0.00000000	NAN	171
-0.79655172	0.00000000	NAN	159
-0.72413793	0.00000000	NAN	150
-0.65172414	0.00000000	NAN	142
-0.57931034	0.00000000	NAN	134
-0.50689655	0.00000000	NAN	127
-0.43448276	0.00000000	NAN	119
-0.36206897	0.00000000	NAN	112
-0.28965517	0.00000000	NAN	106
-0.21724138	0.00000000	NAN	99
-0.14482759	0.00000000	NAN	93
-0.07241379	0.00000000	NAN	88
0.00000000	0.00000000	NAN	83
0.07241379	0.00000000	NAN	81
0.14482759	0.00000000	NAN	86
0.21724138	0.00000000	NAN	92
0.28965517	0.00000000	NAN	99
0.36206897	0.00000000	NAN	108
0.43448276	0.00000000	NAN	118
0.50689655	0.00000000	NAN	131
0.57931034	0.00000000	NAN	147
0.65172414	0.00000000	NAN	168
0.72413793	0.00000000	NAN	197
0.79655172	0.00000000	NAN	238
0.86896552	0.00000000	NAN	303
0.94137931	0.00000000	NAN	427
1.01379310	0.00000000	NAN	0
-1.01379310	0.07241379	NAN	0
-0.94137931	0.07241379	NAN	148
-0.86896552	0.07241379	NAN	149
-0.79655172	0.07241379	NAN	145
-0.72413793	0.07241379	NAN	140
-0.65172414	0.07241379	NAN	134
-0.57931034	0.07241379	NAN	128
-0.50689655	0.07241379	NAN	121
-0.43448276	0.07241379	NAN	115
-0.36206897	0.07241379	NAN	109
-0.28965517	0.07241379	NAN	103
-0.21724138	0.07241379	NAN	97
-0.14482759	0.07241379	NAN	91
-0.07241379	0.07241379	NAN	86
0.00000000	0.07241379	NAN	82
0.07241379	0.07241379	NAN	84
0.14482759	0.07241379	NAN	88
0.21724138	0.07241379	NAN	94
0.28965517	0.07241379	NAN	102
0.36206897	0.07241379	NAN	110
0.43448276	0.07241379	NAN	121
0.50689655	0.07241379	NAN	134
0.57931034	0.07241379	NAN	151
0.65172414	0.07241379	NAN	173
0.72413793	0.07241379	NAN	204
0.79655172	0.07241379	NAN	248
0.86896552	0.07241379	NAN	319
0.94137931	0.07241379	NAN	459
1.01379310	0.07241379	NAN	0
-1.01379310	0.14482759	NAN	0
