INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
0.34000000	72.78582580	0.91124359	0.16180688	5.63167403
0.29000000	62.74388733	1.77644426	0.31543805	5.63167403
0.26000000	60.74294982	2.15457139	0.38258098	5.63167403
0.14000000	63.92805628	3.49491354	0.62058165	5.63167403
0.86000000	71.20369205	0.39576263	0.07027442	5.63167403
0.91000000	72.52582381	0.34593774	0.06142716	5.63167403
0.51000000	69.83430417	0.72009557	0.12786528	5.63167403
0.87000000	72.23450923	0.36827657	0.06539380	5.63167403
0.38000000	73.84368231	0.76236918	0.13537168	5.63167403
0.90000000	71.98700526	0.36130051	0.06415508	5.63167403
1.26000000	64.65014422	0.37600226	0.06676563	5.63167403
0.68000000	68.45368306	0.58065381	0.10310501	5.63167403
1.00000000	70.95780842	0.34515151	0.06128755	5.63167403
0.66000000	68.69377652	0.59092249	0.10492839	5.63167403
1.25000000	70.10756825	0.28947644	0.05140149	5.63167403
1.14000000	69.88959575	0.32118768	0.05703236	5.63167403
0.86000000	71.62511955	0.38624286	0.06858402	5.63167403
0.64000000	70.86966832	0.54199066	0.09623971	5.63167403
0.60000000	67.70640003	0.68333234	0.12133734	5.63167403
0.63000000	71.33056119	0.53632846	0.09523429	5.63167403
0.65000000	69.87449104	0.56377377	0.10010767	5.63167403
0.48000000	69.92610334	0.76131566	0.13518461	5.63167403
0.99000000	70.70635507	0.35360657	0.06278889	5.63167403
0.70000000	70.83348573	0.49654524	0.08817010	5.63167403
0.34000000	68.75545427	1.14343866	0.20303708	5.63167403
0.43000000	69.84923414	0.85337918	0.15153206	5.63167403
1.05000000	72.66467797	0.29727785	0.05278676	5.63167403
0.93000000	70.65685892	0.37746294	0.06702500	5.63167403
0.95000000	69.78240833	0.38766000	0.06883566	5.63167403
1.10000000	70.81248952	0.31635677	0.05617455	5.63167403
0.92000000	69.31694630	0.41035929	0.07286631	5.63167403
0.66000000	69.54447665	0.56515175	0.10035236	5.63167403
